"","X_coordinate","Y_coordinate","Q11","Q12","Q21","Q22","eigenvalue_1","eigenvalue_2","director_x","director_y","order_parameter"
"4626",27,189,0.480104965193461,0.70955669927628,0.70955669927628,-0.480104965193461,0.856721359072635,-0.856721359072636,-0.883288750597402,-0.468829375218832,0.856721359072635
"4627",27,190,0.449796234437667,0.659257826233729,0.659257826233729,-0.449796234437667,0.798083663511994,-0.798083663511994,-0.88419323140999,-0.467121322066077,0.798083663511994
"4628",27,191,0.473066960809798,0.661400037159876,0.661400037159876,-0.473066960809798,0.813168099820021,-0.813168099820021,-0.889313750454933,-0.457297554390771,0.813168099820021
"4629",27,192,0.473257529356022,0.691651126842203,0.691651126842203,-0.473257529356022,0.83806561220125,-0.83806561220125,-0.884506144989635,-0.466528540901385,0.83806561220125
"4630",27,193,0.406371151366794,0.774849434125159,0.774849434125159,-0.406371151366794,0.874945231558669,-0.874945231558669,-0.855702414476653,-0.517468238502448,0.874945231558669
"4631",27,194,0.379348050266177,0.768453330444409,0.768453330444409,-0.379348050266177,0.856986268449999,-0.856986268449999,-0.849309599699224,-0.527895068985063,0.856986268449999
"4632",27,195,0.235162063821582,0.744157290017213,0.744157290017213,-0.235162063821582,0.780430181724533,-0.780430181724533,-0.806636114023851,-0.591048373276249,0.780430181724533
"4633",27,196,0.290434252694741,0.774884095852422,0.774884095852422,-0.290434252694741,0.827524874033028,-0.827524874033028,-0.821878153699647,-0.569663322034392,0.827524874033028
"4634",27,197,0.28609760281054,0.673821489463728,0.673821489463728,-0.28609760281054,0.732043194078774,-0.732043194078774,-0.833912662699818,-0.551896431397142,0.732043194078774
"4635",27,198,0.376755327135362,0.797772399056811,0.797772399056811,-0.376755327135362,0.882261512943715,-0.882261512943715,-0.844699242158547,-0.535241244951075,0.882261512943715
"4636",27,199,-0.0710336369003367,0.80457111837441,0.80457111837441,0.0710336369003366,0.807700725574478,-0.807700725574478,-0.675297900555493,-0.737545080320752,0.807700725574478
"4637",28,140,0.822540556034348,0.113786800171318,0.113786800171318,-0.822540556034348,0.830373652167819,-0.830373652167819,-0.997638907986435,-0.0686775747361112,0.830373652167819
"4638",28,141,0.846783309544752,0.057711453529517,0.057711453529517,-0.846783309544752,0.848747656958211,-0.848747656958211,-0.999421230794043,-0.0340176930158605,0.848747656958211
"4639",28,142,0.856094841210866,0.0548691466316083,0.0548691466316083,-0.856094841210866,0.857851385963757,-0.857851385963757,-0.999487966505133,-0.0319969500333167,0.857851385963757
"4640",28,143,0.869548582307369,0.0628100709835483,0.0628100709835483,-0.869548582307369,0.871814109778979,-0.871814109778979,-0.99935012985142,-0.0360460534032582,0.871814109778979
"4641",28,144,0.8774829601953,0.0770266561981331,0.0770266561981331,-0.8774829601953,0.880857225206317,-0.880857225206317,-0.999041875864909,-0.0437644863824845,0.880857225206317
"4642",28,145,0.868775621531698,0.0934510265189021,0.0934510265189021,-0.868775621531698,0.873787259534737,-0.873787259534737,-0.998565086591971,-0.0535515437645767,0.873787259534737
"4643",28,146,0.860843848758124,0.095660052194974,0.095660052194974,-0.860843848758124,0.866142584988549,-0.866142584988549,-0.998469422214083,-0.0553065358115577,0.866142584988549
"4644",28,147,0.853785247577256,0.0733440570688477,0.0733440570688477,-0.853785247577256,0.856929751897946,-0.856929751897946,-0.999082203651025,-0.0428339858968502,0.856929751897946
"4645",28,148,0.851953247777424,0.106938432963213,0.106938432963213,-0.851953247777424,0.858638553084549,-0.858638553084549,-0.998051617761918,-0.0623936557898134,0.858638553084549
"4646",28,149,0.85705587985694,0.112080104609964,0.112080104609964,-0.85705587985694,0.86435336005984,-0.86435336005984,-0.997887091626159,-0.0649719352173338,0.86435336005984
