"","X","Y","modulus"
"325",-44,153,0.85223736546461
"326",-44,154,0.850833508461291
"327",-44,155,0.739871163560729
"328",-44,156,0.741391251739771
"329",-44,157,0.65973350292656
"330",-44,158,0.74263623673053
"331",-44,159,0.899140118772626
"332",-44,160,0.854816806623509
"333",-44,161,0.764617931413213
"334",-44,162,0.679740159155095
"335",-44,163,0.755615739919281
"336",-44,164,0.751954429477496
"337",-44,165,0.790805810044225
"338",-44,166,0.687036831851958
"339",-44,167,0.678883884784452
"340",-44,168,0.737775544184618
"341",-44,169,0.820121422190633
"342",-44,170,0.795597282335064
"343",-44,171,0.768238372397024
"344",-44,172,0.732299785814769
"345",-44,173,0.56863270888756
"346",-44,174,0.785129798443807
"347",-44,175,0.674077359564911
"348",-44,176,0.705590174749282
"349",-44,177,0.749983926917352
"350",-44,178,0.725190287023982
"351",-44,179,0.685664664072705
"352",-44,180,0.615484025466546
"353",-44,181,0.765392186406632
"354",-44,182,0.614252351222349
"355",-44,183,0.540184878726748
"356",-44,184,0.713447206924967
"357",-44,185,0.63666022727471
"358",-44,186,0.60414261586204
"359",-44,187,0.617705251037132
"360",-44,188,0.494834198548569
"361",-44,189,0.551643546345491
"362",-44,190,0.449667825641554
"363",-44,191,0.591334761267248
"364",-44,192,0.588042620077829
"365",-44,193,0.605977354568175
"366",-44,194,0.747499277433877
"367",-44,195,0.67328406068808
"368",-44,196,0.686864835242991
"369",-44,197,0.55814853858633
"370",-44,198,0.630096524811893
"371",-44,199,0.926168246562772
"372",-43,140,0.423774343409716
"373",-43,141,0.57775059057152
"374",-43,142,0.64889003622322
"375",-43,143,0.554277835365558
"376",-43,144,0.67049516934932
"377",-43,145,0.788117705460401
"378",-43,146,0.78649378186283
"379",-43,147,0.739694970103844
"380",-43,148,0.746152253726406
"381",-43,149,0.644447556508224
"382",-43,150,0.699097993310101
"383",-43,151,0.763133189638731
"384",-43,152,0.763059326727311
"385",-43,153,0.779268776365621
"386",-43,154,0.717085824744207
"387",-43,155,0.766538732988106
"388",-43,156,0.713770347671032
"389",-43,157,0.70296207141202
"390",-43,158,0.709275426975813
"391",-43,159,0.727307625815063
"392",-43,160,0.688716630926892
"393",-43,161,0.728915594364453
"394",-43,162,0.700367861453281
"395",-43,163,0.825027918172112
"396",-43,164,0.746319272855875
"397",-43,165,0.681382766168647
"398",-43,166,0.756723995842375
"399",-43,167,0.772619086569052
"400",-43,168,0.723861664599486
"401",-43,169,0.749329741679924
"402",-43,170,0.811183061405446
"403",-43,171,0.646142693038806
"404",-43,172,0.655189921006269
"405",-43,173,0.726712422799728
"406",-43,174,0.764099798073554
"407",-43,175,0.733126306792104
"408",-43,176,0.783493155168778
